epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.1787,5.50708,6.74376,4.25461,0,0,0,0,5.19105,6.34799,4.16267,0.00032867,0.00032867,0.00032867
2,117.124,4.57329,5.21278,3.99688,0,0,0,0,5.26765,6.12413,4.21347,0.000658332,0.000658332,0.000658332
3,169.027,3.75059,4.04367,3.28191,0,0,0,0,5.45378,6.40016,4.40395,0.000974412,0.000974412,0.000974412
4,220.165,3.2329,3.40633,2.82661,0,0,0,0,5.53987,6.09106,4.51628,0.00127691,0.00127691,0.00127691
5,271.38,3.14216,3.13393,2.61421,0,0,0,0,4.14133,5.38744,3.63886,0.00131582,0.00131582,0.00131582
6,324.312,3.01531,2.77504,2.44269,0.51202,0.22484,0.15453,0.04286,2.94976,2.92385,2.63533,0.00128753,0.00128753,0.00128753
7,377.523,2.94589,2.54975,2.33994,0.68578,0.36399,0.30671,0.114,2.44111,2.20333,2.34574,0.00125923,0.00125923,0.00125923
8,429.467,2.83949,2.44383,2.25504,0.78956,0.38246,0.40015,0.18701,2.32559,2.11391,2.25984,0.00123094,0.00123094,0.00123094
9,480.782,2.77707,2.36305,2.19141,0.93713,0.35826,0.43281,0.22596,2.04295,1.80275,2.11789,0.00120265,0.00120265,0.00120265
10,532.363,2.68946,2.21086,2.12009,0.86609,0.36425,0.45414,0.18364,2.39378,1.8182,2.18435,0.00117435,0.00117435,0.00117435
11,583.977,2.65758,2.17931,2.0843,0.8771,0.37405,0.46533,0.21875,2.11083,1.78747,2.01629,0.00114606,0.00114606,0.00114606
12,634.913,2.58828,2.09427,2.0884,0.85475,0.39814,0.46862,0.2113,2.09085,1.69282,1.97774,0.00111776,0.00111776,0.00111776
13,685.964,2.50977,1.98521,2.00413,0.89242,0.38364,0.46697,0.24957,1.86003,1.56501,1.8507,0.00108947,0.00108947,0.00108947
14,737.135,2.49269,1.86948,1.98048,0.61758,0.55398,0.61989,0.30231,1.89624,1.43936,1.8577,0.00106118,0.00106118,0.00106118
15,788.187,2.4761,1.81442,1.96508,0.59727,0.54154,0.61902,0.32321,1.84417,1.36689,1.82469,0.00103288,0.00103288,0.00103288
16,839.287,2.37711,1.74752,1.90123,0.92449,0.55852,0.67011,0.35119,1.69465,1.25804,1.68868,0.00100459,0.00100459,0.00100459
17,890.147,2.41256,1.72007,1.94374,0.84432,0.56855,0.64324,0.26563,2.1047,1.34478,1.80003,0.000976293,0.000976293,0.000976293
18,941.529,2.39369,1.64394,1.9409,0.86954,0.56965,0.67446,0.35048,1.78651,1.29105,1.69648,0.000947999,0.000947999,0.000947999
19,992.402,2.32587,1.62189,1.90771,0.93598,0.56474,0.66986,0.34433,1.80029,1.20875,1.7174,0.000919704,0.000919704,0.000919704
20,1043.55,2.30982,1.59376,1.86313,0.8641,0.57982,0.68622,0.33796,1.7799,1.16709,1.67314,0.00089141,0.00089141,0.00089141
21,1095.02,2.31945,1.57508,1.8168,0.84957,0.62514,0.73146,0.35377,1.70829,1.16072,1.70448,0.000863116,0.000863116,0.000863116
22,1146.19,2.2682,1.60798,1.8424,0.92889,0.58593,0.70075,0.37403,1.66357,1.08102,1.64007,0.000834822,0.000834822,0.000834822
23,1197.65,2.31301,1.58084,1.81995,0.87872,0.59387,0.71409,0.3784,1.68253,1.08623,1.62536,0.000806528,0.000806528,0.000806528
24,1248.78,2.21079,1.47754,1.80273,0.91643,0.59321,0.72564,0.36834,1.70964,1.05994,1.67077,0.000778233,0.000778233,0.000778233
25,1300.17,2.1908,1.45403,1.77841,0.92769,0.60451,0.7624,0.37164,1.72933,1.0841,1.61542,0.000749939,0.000749939,0.000749939
26,1351.3,2.21576,1.42929,1.77831,0.87424,0.64076,0.75646,0.36754,1.71117,1.03157,1.59256,0.000721645,0.000721645,0.000721645
27,1402.37,2.15752,1.3893,1.77476,0.93239,0.62239,0.7635,0.41645,1.56655,1.00118,1.59445,0.000693351,0.000693351,0.000693351
28,1453.95,2.14316,1.39682,1.75353,0.91096,0.65276,0.77714,0.41653,1.56429,0.99832,1.5582,0.000665057,0.000665057,0.000665057
29,1505.23,2.18881,1.40832,1.78012,0.91019,0.65563,0.77792,0.41681,1.59927,0.964,1.60535,0.000636762,0.000636762,0.000636762
30,1556.36,2.12732,1.36435,1.75107,0.93168,0.64283,0.7772,0.41985,1.57783,0.97834,1.55376,0.000608468,0.000608468,0.000608468
31,1607.68,2.04128,1.28507,1.68672,0.88303,0.67131,0.79397,0.42262,1.53873,0.97268,1.53977,0.000580174,0.000580174,0.000580174
32,1659.02,2.12003,1.36231,1.72619,0.91132,0.64854,0.7767,0.40347,1.5613,0.98245,1.52037,0.00055188,0.00055188,0.00055188
33,1710.2,2.12704,1.40753,1.72254,0.9047,0.66197,0.79503,0.40513,1.60265,0.94962,1.53873,0.000523586,0.000523586,0.000523586
34,1761.26,2.02981,1.312,1.68937,0.91524,0.63557,0.77897,0.43062,1.48704,0.91842,1.49627,0.000495291,0.000495291,0.000495291
35,1812.46,1.9967,1.27107,1.66613,0.95405,0.63683,0.77419,0.42545,1.52571,0.93978,1.52188,0.000466997,0.000466997,0.000466997
36,1863.65,2.03177,1.29108,1.68675,0.93255,0.63203,0.7899,0.40981,1.58646,0.90443,1.51574,0.000438703,0.000438703,0.000438703
37,1915.29,2.02024,1.2837,1.66437,0.89211,0.6947,0.80823,0.41776,1.61277,0.89878,1.50818,0.000410409,0.000410409,0.000410409
38,1966.31,2.04252,1.28169,1.6675,0.94974,0.68174,0.83278,0.42932,1.60474,0.90282,1.52665,0.000382115,0.000382115,0.000382115
39,2017.74,2.03116,1.25223,1.65087,0.85036,0.71835,0.80116,0.44365,1.49104,0.88703,1.49862,0.00035382,0.00035382,0.00035382
40,2068.98,2.00769,1.24976,1.65714,0.92931,0.69639,0.82495,0.43607,1.53007,0.89518,1.49548,0.000325526,0.000325526,0.000325526
41,2119.69,1.96515,1.23009,1.71964,0.92424,0.66239,0.80404,0.44143,1.47673,0.87256,1.46757,0.000297232,0.000297232,0.000297232
42,2170.21,1.9278,1.19162,1.7071,0.84374,0.76741,0.83938,0.4376,1.55747,0.90673,1.51133,0.000268938,0.000268938,0.000268938
43,2220.61,1.92942,1.17944,1.70325,0.90877,0.70082,0.82061,0.44788,1.46875,0.87343,1.47541,0.000240644,0.000240644,0.000240644
44,2271.29,1.93435,1.19031,1.72,0.94122,0.65743,0.82522,0.45731,1.46157,0.84798,1.4602,0.000212349,0.000212349,0.000212349
45,2322.02,1.89927,1.14956,1.68908,0.92557,0.68062,0.83248,0.4574,1.46582,0.83937,1.46144,0.000184055,0.000184055,0.000184055
46,2372.41,1.89403,1.14171,1.69863,0.88933,0.70591,0.82189,0.45945,1.45777,0.83224,1.45485,0.000155761,0.000155761,0.000155761
47,2422.99,1.88624,1.12976,1.68418,0.95725,0.66459,0.8317,0.46153,1.45645,0.8455,1.4421,0.000127467,0.000127467,0.000127467
48,2474.78,1.88944,1.12153,1.68604,0.94601,0.68503,0.82345,0.45866,1.45509,0.81443,1.44839,9.91726e-05,9.91726e-05,9.91726e-05
49,2529.7,1.85434,1.10767,1.64657,0.84535,0.74695,0.83252,0.46508,1.46443,0.81251,1.44437,7.08784e-05,7.08784e-05,7.08784e-05
50,2580.76,1.88898,1.11249,1.70312,0.87756,0.75518,0.8362,0.47283,1.42916,0.80493,1.43654,4.25842e-05,4.25842e-05,4.25842e-05
